equipment,level,equipment_price_e,start_star,target_star,start_mode,policy,breakthrough,breakthrough_scrolls,rebuild_cost_e,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,rebuild_cost_mean_e,equipment_qty_mean,scrolls_mean,breakthroughs_mean,destroys_mean,attempts_mean
永恆上四,250,0.5,22,24,owned,to_12,none,,501.1955,50000,2319.8726,553.5815,1599.5657,3229.5473,5757.0977,153.712,2.1588,2164.0018,4.3177,0.0,0.0,4.3177,29.6344
永恆上四,250,0.5,23,24,owned,full,none,,0.0,50000,3031.9305,27.7504,1686.8414,4224.9538,8280.7524,3024.6921,7.2385,0.0,14.477,0.0,0.0,3.6192,23.968
永恆上四,250,0.5,23,24,owned,to_12,none,,501.1955,50000,1941.4372,27.7504,1084.2324,2718.4313,5267.7074,125.6808,1.8096,1813.9468,3.6192,0.0,0.0,3.6192,23.968
永恆下三,250,11.0,22,24,owned,full,none,,0.0,50000,3802.1516,896.886,2629.4792,5289.3743,9533.4472,3612.1736,189.9779,0.0,17.2707,0.0,0.0,4.3177,29.6344
永恆下三,250,11.0,22,24,owned,to_12,none,,512.9742,50000,2416.0648,575.8602,1666.4018,3363.2194,6002.1633,153.712,47.4945,2214.8584,4.3177,0.0,0.0,4.3177,29.6344
永恆下三,250,11.0,23,24,owned,full,none,,0.0,50000,3183.9386,27.7504,1770.8414,4434.9538,8700.7524,3024.6921,159.2466,0.0,14.477,0.0,0.0,3.6192,23.968
永恆下三,250,11.0,23,24,owned,to_12,none,,512.9742,50000,2022.0692,27.7504,1128.7898,2829.8248,5490.4943,125.6808,39.8116,1856.5767,3.6192,0.0,0.0,3.6192,23.968
口紅,160,14.0,22,24,owned,full,none,,0.0,50000,1178.7241,276.2013,816.5755,1639.1311,2972.881,936.934,241.7901,0.0,17.2707,0.0,0.0,4.3177,29.6344
口紅,160,14.0,22,24,owned,to_12,none,,339.5116,50000,1556.5714,363.7129,1079.1104,2164.2009,3935.509,30.2212,60.4475,1465.9026,4.3177,0.0,0.0,4.3177,29.6344
口紅,160,14.0,23,24,owned,full,none,,0.0,50000,987.4279,5.456,547.8942,1371.2789,2709.3003,784.7504,202.6774,0.0,14.477,0.0,0.0,3.6192,23.968
口紅,160,14.0,23,24,owned,to_12,none,,339.5116,50000,1304.1535,5.456,722.9175,1808.8371,3584.4167,24.71,50.6694,1228.7741,3.6192,0.0,0.0,3.6192,23.968
眼罩,160,30.0,22,24,owned,full,none,,0.0,50000,1455.0556,340.2013,1008.5755,2023.1311,3676.881,936.934,518.1216,0.0,17.2707,0.0,0.0,4.3177,29.6344
眼罩,160,30.0,22,24,owned,to_12,none,,388.4582,50000,1836.9898,428.6595,1273.9501,2553.8803,4649.9212,30.2212,129.5304,1677.2382,4.3177,0.0,0.0,4.3177,29.6344
眼罩,160,30.0,23,24,owned,full,none,,0.0,50000,1219.0592,5.456,675.8942,1691.2789,3349.3003,784.7504,434.3088,0.0,14.477,0.0,0.0,3.6192,23.968
眼罩,160,30.0,23,24,owned,to_12,none,,388.4582,50000,1539.2107,5.456,852.8106,2133.5699,4233.8823,24.71,108.5772,1405.9235,3.6192,0.0,0.0,3.6192,23.968
苦痛,160,45.0,22,24,owned,full,none,,0.0,50000,1714.1164,400.2013,1188.5755,2383.1311,4336.881,936.934,777.1824,0.0,17.2707,0.0,0.0,4.3177,29.6344
苦痛,160,45.0,22,24,owned,to_12,none,,434.3456,50000,2099.8821,489.5469,1456.6123,2919.2047,5319.6826,30.2212,194.2956,1875.3653,4.3177,0.0,0.0,4.3177,29.6344
苦痛,160,45.0,23,24,owned,full,none,,0.0,50000,1436.2136,5.456,795.8942,1991.2789,3949.3003,784.7504,651.4632,0.0,14.477,0.0,0.0,3.6192,23.968
苦痛,160,45.0,23,24,owned,to_12,none,,434.3456,50000,1759.5768,5.456,974.5854,2438.0069,4842.7563,24.71,162.8658,1572.001,3.6192,0.0,0.0,3.6192,23.968
巨大,200,35.0,22,24,owned,full,none,,0.0,50000,2433.7496,569.9243,1686.2801,3384.24,6141.564,1829.2744,604.4752,0.0,17.2707,0.0,0.0,4.3177,29.6344
巨大,200,35.0,22,24,owned,to_12,none,,504.6924,50000,2389.2446,559.6167,1655.3573,3322.3944,6028.1804,59.0256,151.1188,2179.1003,4.3177,0.0,0.0,4.3177,29.6344
巨大,200,35.0,23,24,owned,full,none,,0.0,50000,2038.8436,10.6562,1131.0432,2830.6225,5596.2892,1532.15,506.6936,0.0,14.477,0.0,0.0,3.6192,23.968
巨大,200,35.0,23,24,owned,to_12,none,,504.6924,50000,2001.5379,10.6562,1110.428,2779.0845,5493.2132,48.2616,126.6734,1826.6029,3.6192,0.0,0.0,3.6192,23.968
控制核心,200,220.0,22,24,owned,full,none,,0.0,50000,5628.8328,1309.9243,3906.2801,7824.24,14281.564,1829.2744,3799.5584,0.0,17.2707,0.0,0.0,4.3177,29.6344
控制核心,200,220.0,22,24,owned,to_12,none,,716.0556,50000,4100.6142,955.9799,2844.447,5700.5736,10388.1757,59.0256,949.8896,3091.699,4.3177,0.0,0.0,4.3177,29.6344
控制核心,200,220.0,23,24,owned,full,none,,0.0,50000,4717.0812,10.6562,2611.0432,6530.6225,12996.2892,1532.15,3184.9312,0.0,14.477,0.0,0.0,3.6192,23.968
控制核心,200,220.0,23,24,owned,to_12,none,,716.0556,50000,3436.0715,10.6562,1903.1544,4760.9006,9456.8453,48.2616,796.2328,2591.5771,3.6192,0.0,0.0,3.6192,23.968
頂培,150,1.5,22,25,owned,full,none,,0.0,50000,2855.5214,746.5211,1884.9965,4042.5563,6666.0654,2762.7852,92.7361,0.0,61.8241,0.0,0.0,15.456,103.513
頂培,150,1.5,22,25,owned,to_12,none,,234.9799,50000,3743.932,976.4408,2459.7957,5307.1144,8735.3423,88.8938,23.184,3631.8542,15.456,0.0,0.0,15.456,103.513
頂培,150,1.5,23,25,owned,full,none,,0.0,50000,2726.3741,568.5887,1839.1668,3869.0303,6608.1345,2637.815,88.559,0.0,59.0394,0.0,0.0,14.7598,97.8499
頂培,150,1.5,23,25,owned,to_12,none,,234.9799,50000,3574.7684,741.0284,2413.9659,5076.1085,8677.4114,84.3627,22.1398,3468.2659,14.7598,0.0,0.0,14.7598,97.8499
頂培,150,1.5,24,25,owned,full,none,,0.0,50000,2069.1992,5.0194,942.0071,3109.216,5712.9196,2001.9949,67.2043,0.0,44.8029,0.0,0.0,11.2007,74.1984
頂培,150,1.5,24,25,owned,to_12,none,,234.9799,50000,2713.0156,5.0194,1229.4066,4086.3745,7494.7969,64.2703,16.8011,2631.9442,11.2007,0.0,0.0,11.2007,74.1984
神秘,200,0.5,22,25,owned,full,none,,0.0,50000,6578.59,1720.3459,4345.1755,9311.8355,15358.3738,6547.678,30.912,0.0,61.8241,0.0,0.0,15.456,103.513
神秘,200,0.5,22,25,owned,to_12,none,,399.1514,50000,6387.7294,1670.9514,4221.6892,9040.1657,14913.8232,210.7098,7.728,6169.2916,15.456,0.0,0.0,15.456,103.513
神秘,200,0.5,23,25,owned,full,none,,0.0,50000,6281.0236,1310.8764,4236.5428,8912.8108,15221.057,6251.5039,29.5197,0.0,59.0394,0.0,0.0,14.7598,97.8499
神秘,200,0.5,23,25,owned,to_12,none,,399.1514,50000,6098.7599,1273.8305,4113.0565,8653.4897,14776.5064,199.9695,7.3799,5891.4104,14.7598,0.0,0.0,14.7598,97.8499
神秘,200,0.5,24,25,owned,full,none,,0.0,50000,4767.0401,11.8979,2171.4234,7160.9553,13160.5475,4744.6386,22.4014,0.0,44.8029,0.0,0.0,11.2007,74.1984
神秘,200,0.5,24,25,owned,to_12,none,,399.1514,50000,4628.7266,11.8979,2109.6803,6951.0287,12777.7401,152.3434,5.6004,4470.7828,11.2007,0.0,0.0,11.2007,74.1984
永恆上四,250,0.5,22,25,owned,full,none,,0.0,50000,12959.9057,3400.4002,8616.3927,18311.4029,30278.7607,12928.9937,30.912,0.0,61.8241,0.0,0.0,15.456,103.513
永恆上四,250,0.5,22,25,owned,to_12,none,,501.1955,50000,8302.9373,2195.1822,5603.3476,11683.2939,19430.1675,548.7217,7.728,7746.4876,15.456,0.0,0.0,15.456,103.513
永恆上四,250,0.5,23,25,owned,full,none,,0.0,50000,12372.9039,2603.9899,8333.4959,17542.1927,29921.166,12343.3842,29.5197,0.0,59.0394,0.0,0.0,14.7598,97.8499
永恆上四,250,0.5,23,25,owned,to_12,none,,501.1955,50000,7925.6977,1700.0764,5320.6244,11214.7982,19094.2305,520.7524,7.3799,7397.5654,14.7598,0.0,0.0,14.7598,97.8499
永恆上四,250,0.5,24,25,owned,full,none,,0.0,50000,9390.9046,30.984,4305.1643,14059.7365,25904.8393,9368.5032,22.4014,0.0,44.8029,0.0,0.0,11.2007,74.1984
永恆上四,250,0.5,24,25,owned,to_12,none,,501.1955,50000,6016.0773,30.984,2798.6418,8937.56,16564.3998,396.7265,5.6004,5613.7504,11.2007,0.0,0.0,11.2007,74.1984
永恆下三,250,11.0,22,25,owned,full,none,,0.0,50000,13609.0586,3568.4002,9036.3927,19235.4029,31790.7607,12928.9937,680.0649,0.0,61.8241,0.0,0.0,15.456,103.513
永恆下三,250,11.0,22,25,owned,to_12,none,,512.9742,50000,8647.2772,2284.2969,5826.1345,12173.4251,20233.8315,548.7217,170.0162,7928.5393,15.456,0.0,0.0,15.456,103.513
永恆下三,250,11.0,23,25,owned,full,none,,0.0,50000,12992.8172,2729.9899,8753.4959,18424.1927,31433.166,12343.3842,649.433,0.0,59.0394,0.0,0.0,14.7598,97.8499
