equipment,level,equipment_price_e,start_star,target_star,policy,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,equipment_qty_mean,scrolls_mean,destroys_mean,attempts_mean
永恆下三,250,8.0,15,22,full,50000,1155.3214,537.3842,978.9184,1583.6614,2256.8504,1111.3102,44.0112,5.5014,1.0,3.101,40.0237
永恆下三,250,8.0,15,22,to_12,50000,1145.3634,405.194,819.6447,1554.9012,2502.8249,1063.2314,82.132,10.2665,11.2665,10.2665,178.0421
永恆下三,250,8.0,16,22,full,50000,1148.6084,537.7146,977.3473,1567.5829,2241.3622,1105.1545,43.4539,5.4317,1.0,3.0293,36.7121
永恆下三,250,8.0,16,22,to_12,50000,1079.3831,383.9311,778.2577,1458.7828,2368.51,1003.5255,75.8576,9.4822,10.4822,9.4822,142.2901
永恆下三,250,8.0,17,22,full,50000,1154.768,543.7881,983.2017,1573.9849,2261.143,1111.6837,43.0843,5.3855,1.0,2.9714,33.3824
永恆下三,250,8.0,17,22,to_12,50000,1116.6799,396.7438,802.6159,1502.5457,2443.9358,1045.8417,70.8382,8.8548,9.8548,8.8548,110.2849
永恆下三,250,8.0,18,22,full,50000,1112.194,493.9546,933.0332,1533.3439,2203.0312,1072.8339,39.3602,4.92,1.0,2.5078,26.6673
永恆下三,250,8.0,18,22,to_12,50000,955.7595,342.9122,688.5393,1286.2776,2086.9213,909.1521,46.6074,5.8259,6.8259,5.8259,65.5262
永恆下三,250,8.0,19,22,full,50000,988.0105,379.8468,786.583,1375.4668,2049.4123,954.1415,33.869,4.2336,1.0,1.8277,18.3601
永恆下三,250,8.0,19,22,to_12,50000,688.9416,250.7275,500.7054,925.4581,1485.7142,664.4683,24.4733,3.0592,4.0592,3.0592,31.6665
永恆下三,250,8.0,20,22,full,50000,874.8777,350.9043,824.9043,989.2668,1624.8714,855.4167,19.461,2.4326,1.0,0.9293,8.3551
永恆下三,250,8.0,20,22,to_12,50000,751.4918,350.9043,688.3864,1043.9386,1427.0994,742.5175,8.9742,1.1218,2.1218,1.1218,10.2645
口紅,160,5.0,15,22,full,50000,319.4973,148.384,270.5406,438.3409,625.4536,291.9903,27.507,5.5014,1.0,3.101,40.0237
口紅,160,5.0,15,22,to_12,50000,333.1924,115.7642,237.811,453.0829,730.9552,281.8599,51.3325,10.2665,11.2665,10.2665,178.0421
口紅,160,5.0,16,22,full,50000,319.3043,150.1636,272.3245,435.1895,623.174,292.1456,27.1587,5.4317,1.0,3.0293,36.7121
口紅,160,5.0,16,22,to_12,50000,331.9561,115.9886,238.2106,448.3242,733.1003,284.5451,47.411,9.4822,10.4822,9.4822,142.2901
口紅,160,5.0,17,22,full,50000,330.3739,161.1137,283.0113,446.0159,637.0644,303.4462,26.9277,5.3855,1.0,2.9714,33.3824
口紅,160,5.0,17,22,to_12,50000,433.1423,149.5445,308.7938,586.0374,953.9346,388.8684,44.2739,8.8548,9.8548,8.8548,110.2849
口紅,160,5.0,18,22,full,50000,324.6546,153.407,274.6943,441.0624,627.3184,300.0545,24.6001,4.92,1.0,2.5078,26.6673
口紅,160,5.0,18,22,to_12,50000,393.1916,138.7129,281.6462,529.0181,862.9185,364.062,29.1296,5.8259,6.8259,5.8259,65.5262
口紅,160,5.0,19,22,full,50000,318.8685,151.6437,263.0364,426.7458,613.1335,297.7004,21.1681,4.2336,1.0,1.8277,18.3601
口紅,160,5.0,19,22,to_12,50000,380.9849,151.219,275.7411,508.9862,816.5268,365.6891,15.2958,3.0592,4.0592,3.0592,31.6665
口紅,160,5.0,20,22,full,50000,480.36,335.6629,465.1849,513.7057,691.8899,468.1969,12.1631,2.4326,1.0,0.9293,8.3551
口紅,160,5.0,20,22,to_12,50000,716.7229,335.6629,670.0434,1009.326,1356.1386,711.114,5.6089,1.1218,2.1218,1.1218,10.2645
眼罩,160,10.0,15,22,full,50000,347.0043,160.7873,294.3265,477.1711,681.4224,291.9903,55.014,5.5014,1.0,3.101,40.0237
